Date,Strategy_Equity
2024-08-02,10133.656372070312
2024-08-05,9920.618919372559
2024-08-06,9967.371124267578
2024-08-07,9823.1155128479
2024-08-08,9922.020492553711
2024-08-09,9910.273654937744
2024-08-12,9751.814884185791
2024-08-13,9865.57929611206
2024-08-14,9831.97631072998
2024-08-15,10001.358345031738
2024-08-16,9990.880264282227
2024-08-19,10119.97049331665
2024-08-20,10083.769031524658
2024-08-21,10154.965278625488
2024-08-22,10069.466960906982
2024-08-23,10356.20735168457
2024-08-26,10402.978881835938
2024-08-27,10347.473983764648
2024-08-28,10333.741897583008
2024-08-29,10407.632675170898
2024-08-30,10464.34252166748
2024-09-03,10361.439514160156
2024-09-04,10305.113571166992
2024-09-05,10171.28003692627
2024-09-06,10010.743564605713
2024-09-09,10041.524551391602
2024-09-10,10053.475482940674
2024-09-11,9959.653907775879
